Repo,Tag Name,Release Name,Published At,Year,Month,Day,Week,Date,Is Weekend,URL
daangn/stackflow,@stackflow/link@1.6.0,@stackflow/link@1.6.0,2024-11-08T01:57:26Z,2024,11,8,45,2024-11-08,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.6.0
daangn/stackflow,@stackflow/react@1.4.1,@stackflow/react@1.4.1,2024-10-23T05:42:16Z,2024,10,23,43,2024-10-23,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.4.1
daangn/stackflow,@stackflow/react@1.4.0,@stackflow/react@1.4.0,2024-09-26T06:24:57Z,2024,9,26,39,2024-09-26,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.4.0
daangn/stackflow,@stackflow/plugin-preload@1.4.3,@stackflow/plugin-preload@1.4.3,2024-09-26T06:25:00Z,2024,9,26,39,2024-09-26,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.4.3
daangn/stackflow,@stackflow/plugin-history-sync@1.7.0,@stackflow/plugin-history-sync@1.7.0,2024-09-26T06:24:51Z,2024,9,26,39,2024-09-26,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.7.0
daangn/stackflow,@stackflow/link@1.5.0,@stackflow/link@1.5.0,2024-09-26T06:24:54Z,2024,9,26,39,2024-09-26,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.5.0
daangn/stackflow,@stackflow/config@1.2.0,@stackflow/config@1.2.0,2024-09-26T06:24:48Z,2024,9,26,39,2024-09-26,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/config%401.2.0
daangn/stackflow,@stackflow/plugin-basic-ui@1.10.0,@stackflow/plugin-basic-ui@1.10.0,2024-09-11T07:08:36Z,2024,9,11,37,2024-09-11,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.10.0
daangn/stackflow,@stackflow/react@1.3.2,@stackflow/react@1.3.2,2024-09-03T05:29:01Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.3.2
daangn/stackflow,@stackflow/react-ui-core@1.1.2,@stackflow/react-ui-core@1.1.2,2024-09-03T05:28:55Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.1.2
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.13,@stackflow/plugin-renderer-web@1.1.13,2024-09-03T05:28:57Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.13
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.13,@stackflow/plugin-renderer-basic@1.1.13,2024-09-03T05:28:52Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.13
daangn/stackflow,@stackflow/plugin-preload@1.4.2,@stackflow/plugin-preload@1.4.2,2024-09-03T05:28:48Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.4.2
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.11,@stackflow/plugin-map-initial-activity@1.0.11,2024-09-03T05:28:46Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.11
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.15,@stackflow/plugin-google-analytics-4@1.1.15,2024-09-03T05:28:42Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.15
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.2,@stackflow/plugin-basic-ui@1.9.2,2024-09-03T05:28:39Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.9.2
daangn/stackflow,@stackflow/link@1.4.5,@stackflow/link@1.4.5,2024-09-03T05:28:36Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.5
daangn/stackflow,@stackflow/compat-await-push@1.1.13,@stackflow/compat-await-push@1.1.13,2024-09-03T05:28:34Z,2024,9,3,36,2024-09-03,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/compat-await-push%401.1.13
daangn/stackflow,@stackflow/plugin-history-sync@1.6.3,@stackflow/plugin-history-sync@1.6.3,2024-08-21T06:44:29Z,2024,8,21,34,2024-08-21,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.3
daangn/stackflow,@stackflow/react@1.3.1,@stackflow/react@1.3.1,2024-08-14T06:44:07Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.3.1
daangn/stackflow,@stackflow/react@1.3.0,@stackflow/react@1.3.0,2024-08-14T05:39:17Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.3.0
daangn/stackflow,@stackflow/react-ui-core@1.1.1,@stackflow/react-ui-core@1.1.1,2024-08-14T05:39:11Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.1.1
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.5,@stackflow/plugin-stack-depth-change@1.1.5,2024-08-14T05:39:14Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-stack-depth-change%401.1.5
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.12,@stackflow/plugin-renderer-web@1.1.12,2024-08-14T05:39:08Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.12
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.12,@stackflow/plugin-renderer-basic@1.1.12,2024-08-14T05:39:05Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.12
daangn/stackflow,@stackflow/plugin-preload@1.4.1,@stackflow/plugin-preload@1.4.1,2024-08-14T05:38:59Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.4.1
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.10,@stackflow/plugin-map-initial-activity@1.0.10,2024-08-14T05:38:55Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.10
daangn/stackflow,@stackflow/plugin-history-sync@1.6.2,@stackflow/plugin-history-sync@1.6.2,2024-08-14T05:39:02Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.2
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.14,@stackflow/plugin-google-analytics-4@1.1.14,2024-08-14T05:38:52Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.14
daangn/stackflow,@stackflow/plugin-devtools@0.1.11,@stackflow/plugin-devtools@0.1.11,2024-08-14T05:38:50Z,2024,8,14,33,2024-08-14,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-devtools%400.1.11
